"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_01_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",5,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_02_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",6,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_03_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",7,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_04_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",8,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_01_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",9,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_03_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",10,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_04_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",11,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_06_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",12,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_07_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",13,,,,,
"5528073",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528073_liv_14_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",14,,,,,
